experiment_id,fault_type,create_time,end_time
03c4a202b66fee5e,disk-burn,2025-09-22 23:16:11,2025-09-22 23:17:17
8cc88de0c8f54d29,mem-load,2025-09-22 23:16:11,2025-09-22 23:17:16
522a5fbca5927f07,cpu-fullload,2025-09-22 23:18:24,2025-09-22 23:19:28
f2fb05216f723615,network-loss,2025-09-22 23:18:24,2025-09-22 23:19:29
786dc973a6642546,disk-fill,2025-09-22 23:20:11,2025-09-22 23:21:13
c08778008e5734c7,cpu-fullload,2025-09-22 23:20:11,2025-09-22 23:21:13
17ce339180c8ed90,disk-burn,2025-09-22 23:22:11,2025-09-22 23:23:13
da5269ebf4058210,cpu-fullload,2025-09-22 23:22:11,2025-09-22 23:23:13
54ef7c1c9467a98d,network-loss,2025-09-22 23:22:11,2025-09-22 23:23:13
249ac53fea140342,cpu-fullload,2025-09-22 23:24:11,2025-09-22 23:25:12
652e923ce4030373,mem-load,2025-09-22 23:24:11,2025-09-22 23:25:12
c434b5fac702d49f,disk-burn,2025-09-22 23:26:15,2025-09-22 23:27:19
c2ca30bead635c5c,network-loss,2025-09-22 23:26:15,2025-09-22 23:27:18
59d7eb0c4833dace,mem-load,2025-09-22 23:28:24,2025-09-22 23:29:35
cedd370ba5236d58,network-loss,2025-09-22 23:30:17,2025-09-22 23:31:21
3fb1c55854a3a01b,cpu-fullload,2025-09-22 23:30:17,2025-09-22 23:31:21
80d02c8d4bb841bb,mem-load,2025-09-22 23:30:18,2025-09-22 23:31:21
